iter	Passed	Remaining
0	2	217
1	4	201
2	6	198
3	7	185
4	9	183
5	11	184
6	13	178
7	14	171
8	16	165
9	17	159
10	19	156
11	21	157
12	23	157
13	25	156
14	27	156
15	29	155
16	31	154
17	33	154
18	35	152
19	37	149
20	38	146
21	41	145
22	43	146
23	45	144
24	47	143
25	50	143
26	52	142
27	55	142
28	57	141
29	60	140
30	62	138
31	64	137
32	66	135
33	69	134
34	71	132
35	73	131
36	75	127
37	76	124
38	77	121
39	78	118
40	79	115
41	80	111
42	81	108
43	82	105
44	83	102
45	85	99
46	86	97
47	87	94
48	88	91
49	89	89
50	90	87
51	91	84
52	92	82
53	93	79
54	94	77
55	95	75
56	96	73
57	97	70
58	99	68
59	100	66
60	101	64
61	102	62
62	103	60
63	104	58
64	105	57
65	107	55
66	108	53
67	109	51
68	110	49
69	111	47
70	112	46
71	113	44
72	114	42
73	116	40
74	117	39
75	118	37
76	119	35
77	120	34
78	121	32
79	122	30
80	124	29
81	125	27
82	126	25
83	127	24
84	128	22
85	129	21
86	130	19
87	132	18
88	133	16
89	134	14
90	135	13
91	137	11
92	138	10
93	139	8
94	141	7
95	142	5
96	143	4
97	144	2
98	146	1
99	147	0
